"","date","hitsPlasticPol","keyword.x","hitsLife","hitsLove","BMLife","BMLove","year"
"1",2004-01-01,4,"plastic pollution",84,67,0.0476190476190476,0.0597014925373134,"2004"
"2",2004-02-01,13,"plastic pollution",83,76,0.156626506024096,0.171052631578947,"2004"
"3",2004-03-01,13,"plastic pollution",84,68,0.154761904761905,0.191176470588235,"2004"
"4",2004-04-01,14,"plastic pollution",79,64,0.177215189873418,0.21875,"2004"
"5",2004-05-01,14,"plastic pollution",77,64,0.181818181818182,0.21875,"2004"
"6",2004-06-01,7,"plastic pollution",72,62,0.0972222222222222,0.112903225806452,"2004"
"7",2004-07-01,4,"plastic pollution",71,62,0.0563380281690141,0.0645161290322581,"2004"
"8",2004-08-01,5,"plastic pollution",72,62,0.0694444444444444,0.0806451612903226,"2004"
"9",2004-09-01,9,"plastic pollution",75,60,0.12,0.15,"2004"
"10",2004-10-01,6,"plastic pollution",79,61,0.0759493670886076,0.0983606557377049,"2004"
"11",2004-11-01,11,"plastic pollution",100,63,0.11,0.174603174603175,"2004"
"12",2004-12-01,6,"plastic pollution",91,65,0.0659340659340659,0.0923076923076923,"2004"
"13",2005-01-01,4,"plastic pollution",88,64,0.0454545454545455,0.0625,"2005"
"14",2005-02-01,3,"plastic pollution",83,72,0.036144578313253,0.0416666666666667,"2005"
"15",2005-03-01,7,"plastic pollution",80,65,0.0875,0.107692307692308,"2005"
"16",2005-04-01,8,"plastic pollution",81,64,0.0987654320987654,0.125,"2005"
"17",2005-05-01,16,"plastic pollution",81,66,0.197530864197531,0.242424242424242,"2005"
"18",2005-06-01,2,"plastic pollution",73,64,0.0273972602739726,0.03125,"2005"
"19",2005-07-01,2,"plastic pollution",73,63,0.0273972602739726,0.0317460317460317,"2005"
"20",2005-08-01,11,"plastic pollution",69,63,0.159420289855072,0.174603174603175,"2005"
"21",2005-09-01,7,"plastic pollution",71,61,0.0985915492957746,0.114754098360656,"2005"
"22",2005-10-01,10,"plastic pollution",77,64,0.12987012987013,0.15625,"2005"
