"","date","hitsZeroWaste","keyword.x","hitsLife","hitsLove","BMLife","BMLove","year"
"1",2004-01-01,10,"zero waste",84,67,0.119047619047619,0.149253731343284,"2004"
"2",2004-02-01,10,"zero waste",81,76,0.123456790123457,0.131578947368421,"2004"
"3",2004-03-01,6,"zero waste",85,68,0.0705882352941176,0.0882352941176471,"2004"
"4",2004-04-01,16,"zero waste",78,64,0.205128205128205,0.25,"2004"
"5",2004-05-01,10,"zero waste",78,64,0.128205128205128,0.15625,"2004"
"6",2004-06-01,9,"zero waste",72,62,0.125,0.145161290322581,"2004"
"7",2004-07-01,11,"zero waste",70,62,0.157142857142857,0.17741935483871,"2004"
"8",2004-08-01,9,"zero waste",71,62,0.126760563380282,0.145161290322581,"2004"
"9",2004-09-01,6,"zero waste",73,60,0.0821917808219178,0.1,"2004"
"10",2004-10-01,13,"zero waste",79,61,0.164556962025316,0.213114754098361,"2004"
"11",2004-11-01,9,"zero waste",100,63,0.09,0.142857142857143,"2004"
"12",2004-12-01,7,"zero waste",89,65,0.0786516853932584,0.107692307692308,"2004"
"13",2005-01-01,8,"zero waste",89,64,0.0898876404494382,0.125,"2005"
"14",2005-02-01,13,"zero waste",83,72,0.156626506024096,0.180555555555556,"2005"
"15",2005-03-01,12,"zero waste",79,65,0.151898734177215,0.184615384615385,"2005"
"16",2005-04-01,9,"zero waste",82,64,0.109756097560976,0.140625,"2005"
"17",2005-05-01,11,"zero waste",79,66,0.139240506329114,0.166666666666667,"2005"
"18",2005-06-01,7,"zero waste",71,64,0.0985915492957746,0.109375,"2005"
"19",2005-07-01,8,"zero waste",71,63,0.112676056338028,0.126984126984127,"2005"
"20",2005-08-01,6,"zero waste",70,63,0.0857142857142857,0.0952380952380952,"2005"
"21",2005-09-01,10,"zero waste",71,61,0.140845070422535,0.163934426229508,"2005"
"22",2005-10-01,10,"zero waste",76,64,0.131578947368421,0.15625,"2005"
"23",2005-11-01,7,"zero waste",74,65,0.0945945945945946,0.107692307692308,"2005"
"24",2005-12-01,7,"zero waste",68,67,0.102941176470588,0.104477611940299,"2005"
"25",2006-01-01,9,"zero waste",75,66,0.12,0.136363636363636,"2006"
"26",2006-02-01,5,"zero waste",76,74,0.0657894736842105,0.0675675675675676,"2006"
"27",2006-03-01,18,"zero waste",76,64,0.236842105263158,0.28125,"2006"
"28",2006-04-01,7,"zero waste",72,66,0.0972222222222222,0.106060606060606,"2006"
"29",2006-05-01,11,"zero waste",74,64,0.148648648648649,0.171875,"2006"
"30",2006-06-01,6,"zero waste",70,62,0.0857142857142857,0.0967741935483871,"2006"
"31",2006-07-01,7,"zero waste",67,65,0.104477611940299,0.107692307692308,"2006"
"32",2006-08-01,11,"zero waste",66,65,0.166666666666667,0.169230769230769,"2006"
"33",2006-09-01,10,"zero waste",68,63,0.147058823529412,0.158730158730159,"2006"
"34",2006-10-01,9,"zero waste",70,66,0.128571428571429,0.136363636363636,"2006"
"35",2006-11-01,8,"zero waste",71,66,0.112676056338028,0.121212121212121,"2006"
"36",2006-12-01,6,"zero waste",69,67,0.0869565217391304,0.0895522388059701,"2006"
"37",2007-01-01,9,"zero waste",77,64,0.116883116883117,0.140625,"2007"
"38",2007-02-01,14,"zero waste",77,71,0.181818181818182,0.197183098591549,"2007"
"39",2007-03-01,13,"zero waste",79,64,0.164556962025316,0.203125,"2007"
"40",2007-04-01,12,"zero waste",75,65,0.16,0.184615384615385,"2007"
"41",2007-05-01,10,"zero waste",77,65,0.12987012987013,0.153846153846154,"2007"
"42",2007-06-01,9,"zero waste",73,65,0.123287671232877,0.138461538461538,"2007"
"43",2007-07-01,11,"zero waste",70,68,0.157142857142857,0.161764705882353,"2007"
"44",2007-08-01,8,"zero waste",71,68,0.112676056338028,0.117647058823529,"2007"
"45",2007-09-01,8,"zero waste",70,66,0.114285714285714,0.121212121212121,"2007"
"46",2007-10-01,8,"zero waste",75,67,0.106666666666667,0.119402985074627,"2007"
"47",2007-11-01,11,"zero waste",74,67,0.148648648648649,0.164179104477612,"2007"
"48",2007-12-01,8,"zero waste",69,77,0.115942028985507,0.103896103896104,"2007"
"49",2008-01-01,7,"zero waste",71,72,0.0985915492957746,0.0972222222222222,"2008"
"50",2008-02-01,11,"zero waste",68,78,0.161764705882353,0.141025641025641,"2008"
"51",2008-03-01,11,"zero waste",71,71,0.154929577464789,0.154929577464789,"2008"
"52",2008-04-01,11,"zero waste",69,74,0.159420289855072,0.148648648648649,"2008"
"53",2008-05-01,11,"zero waste",69,73,0.159420289855072,0.150684931506849,"2008"
"54",2008-06-01,11,"zero waste",65,73,0.169230769230769,0.150684931506849,"2008"
"55",2008-07-01,11,"zero waste",64,71,0.171875,0.154929577464789,"2008"
"56",2008-08-01,11,"zero waste",67,68,0.164179104477612,0.161764705882353,"2008"
"57",2008-09-01,12,"zero waste",71,68,0.169014084507042,0.176470588235294,"2008"
"58",2008-10-01,10,"zero waste",72,69,0.138888888888889,0.144927536231884,"2008"
"59",2008-11-01,10,"zero waste",72,71,0.138888888888889,0.140845070422535,"2008"
"60",2008-12-01,9,"zero waste",70,71,0.128571428571429,0.126760563380282,"2008"
"61",2009-01-01,12,"zero waste",75,73,0.16,0.164383561643836,"2009"
"62",2009-02-01,9,"zero waste",76,78,0.118421052631579,0.115384615384615,"2009"
"63",2009-03-01,13,"zero waste",76,75,0.171052631578947,0.173333333333333,"2009"
"64",2009-04-01,13,"zero waste",74,76,0.175675675675676,0.171052631578947,"2009"
"65",2009-05-01,12,"zero waste",71,77,0.169014084507042,0.155844155844156,"2009"
"66",2009-06-01,11,"zero waste",70,74,0.157142857142857,0.148648648648649,"2009"
"67",2009-07-01,12,"zero waste",70,77,0.171428571428571,0.155844155844156,"2009"
"68",2009-08-01,12,"zero waste",70,78,0.171428571428571,0.153846153846154,"2009"
"69",2009-09-01,12,"zero waste",74,76,0.162162162162162,0.157894736842105,"2009"
"70",2009-10-01,15,"zero waste",76,77,0.197368421052632,0.194805194805195,"2009"
"71",2009-11-01,11,"zero waste",72,78,0.152777777777778,0.141025641025641,"2009"
"72",2009-12-01,9,"zero waste",71,79,0.126760563380282,0.113924050632911,"2009"
"73",2010-01-01,10,"zero waste",74,80,0.135135135135135,0.125,"2010"
"74",2010-02-01,11,"zero waste",75,87,0.146666666666667,0.126436781609195,"2010"
"75",2010-03-01,12,"zero waste",77,81,0.155844155844156,0.148148148148148,"2010"
"76",2010-04-01,13,"zero waste",77,82,0.168831168831169,0.158536585365854,"2010"
"77",2010-05-01,12,"zero waste",72,86,0.166666666666667,0.13953488372093,"2010"
"78",2010-06-01,13,"zero waste",73,88,0.178082191780822,0.147727272727273,"2010"
"79",2010-07-01,10,"zero waste",73,97,0.136986301369863,0.103092783505155,"2010"
"80",2010-08-01,14,"zero waste",72,98,0.194444444444444,0.142857142857143,"2010"
"81",2010-09-01,11,"zero waste",72,91,0.152777777777778,0.120879120879121,"2010"
"82",2010-10-01,14,"zero waste",76,93,0.184210526315789,0.150537634408602,"2010"
"83",2010-11-01,10,"zero waste",73,93,0.136986301369863,0.10752688172043,"2010"
"84",2010-12-01,10,"zero waste",71,90,0.140845070422535,0.111111111111111,"2010"
"85",2011-01-01,14,"zero waste",79,89,0.177215189873418,0.157303370786517,"2011"
"86",2011-02-01,16,"zero waste",75,92,0.213333333333333,0.173913043478261,"2011"
"87",2011-03-01,20,"zero waste",71,81,0.28169014084507,0.246913580246914,"2011"
"88",2011-04-01,19,"zero waste",74,85,0.256756756756757,0.223529411764706,"2011"
"89",2011-05-01,17,"zero waste",74,87,0.22972972972973,0.195402298850575,"2011"
"90",2011-06-01,11,"zero waste",75,87,0.146666666666667,0.126436781609195,"2011"
"91",2011-07-01,11,"zero waste",72,89,0.152777777777778,0.123595505617978,"2011"
"92",2011-08-01,14,"zero waste",72,91,0.194444444444444,0.153846153846154,"2011"
"93",2011-09-01,12,"zero waste",72,89,0.166666666666667,0.134831460674157,"2011"
"94",2011-10-01,14,"zero waste",70,95,0.2,0.147368421052632,"2011"
"95",2011-11-01,13,"zero waste",71,94,0.183098591549296,0.138297872340426,"2011"
"96",2011-12-01,11,"zero waste",67,95,0.164179104477612,0.115789473684211,"2011"
"97",2012-01-01,18,"zero waste",72,92,0.25,0.195652173913043,"2012"
"98",2012-02-01,14,"zero waste",69,100,0.202898550724638,0.14,"2012"
"99",2012-03-01,16,"zero waste",68,89,0.235294117647059,0.179775280898876,"2012"
"100",2012-04-01,16,"zero waste",68,87,0.235294117647059,0.183908045977011,"2012"
"101",2012-05-01,14,"zero waste",69,84,0.202898550724638,0.166666666666667,"2012"
"102",2012-06-01,13,"zero waste",68,84,0.191176470588235,0.154761904761905,"2012"
